"Extinction_Day_in_Eggs","Extinction_Day_in_Host","Proportion_Vaccinated","Last_Day_IAE_Over_14400","q"
12531,12427,0,12531,0.75
12531,12415,0.05,12531,0.75
12531,12409,0.1,12531,0.75
12531,7654,0.15,8157,0.75
12531,5497,0.2,5785,0.75
12531,3627,0.25,4221,0.75
12531,2930,0.3,3524,0.75
12531,1803,0.4,2722,0.75
12531,1063,0.5,2145,0.75
12531,0,0.6,2097,0.75
12531,0,0.7,2097,0.75
12531,0,0.8,2097,0.75
12531,0,0.9,2097,0.75
12531,0,0.99,2097,0.75
12531,12395,0,12531,0.9
12531,12398,0.05,12531,0.9
12531,12401,0.1,12531,0.9
12531,12405,0.15,12531,0.9
12531,12408,0.2,12531,0.9
12531,12412,0.25,12531,0.9
12531,12415,0.3,12531,0.9
12531,12417,0.4,12531,0.9
12531,12409,0.5,12531,0.9
12531,6572,0.6,11157,0.9
12531,1060,0.7,5785,0.9
12531,0,0.8,5785,0.9
12531,0,0.9,5785,0.9
12531,0,0.99,5785,0.9
