"q","muC","Mean_Annual_Seroprevalence","mean_popn_R0","param1"
"0",0.01,0.0200803771457068,NA,0
"0",0.035,0.0200644396130035,NA,0
"0",0.06,0.0200629070613064,NA,0
"0",0.085,0.0200625712644902,NA,0
"0",0.11,0.0200624746792209,NA,0
"0",0.135,0.0200624395836042,NA,0
"0",0.16,0.0200624312439259,NA,0
"0",0.185,0.0200624191339166,NA,0
"0",0.21,0.0200624168268717,NA,0
"0.1",0.01,0.0202578524764494,NA,0.1
"0.1",0.035,0.0202419415764238,NA,0.1
"0.1",0.06,0.0202404119360087,NA,0.1
"0.1",0.085,0.0202400760975855,NA,0.1
"0.1",0.11,0.0202399820265443,NA,0.1
"0.1",0.135,0.0202399455498071,NA,0.1
"0.1",0.16,0.0202399332698661,NA,0.1
"0.1",0.185,0.0202399336544777,NA,0.1
"0.1",0.21,0.0202399287125506,NA,0.1
"0.2",0.01,0.020484138286164,NA,0.2
"0.2",0.035,0.0204682676777733,NA,0.2
"0.2",0.06,0.020466739240886,NA,0.2
"0.2",0.085,0.0204664072157495,NA,0.2
"0.2",0.11,0.0204663063344174,NA,0.2
"0.2",0.135,0.0204662779915096,NA,0.2
"0.2",0.16,0.0204662592458239,NA,0.2
"0.2",0.185,0.0204662590734001,NA,0.2
"0.2",0.21,0.0204662520933069,NA,0.2
"0.3",0.01,0.101821199535863,NA,0.3
"0.3",0.035,0.0210109816801843,NA,0.3
"0.3",0.06,0.0210041564504405,NA,0.3
"0.3",0.085,0.0210037894032108,NA,0.3
"0.3",0.11,0.0210036965928365,NA,0.3
"0.3",0.135,0.0210036650305491,NA,0.3
"0.3",0.16,0.0210036499039396,NA,0.3
"0.3",0.185,0.021003648864163,NA,0.3
"0.3",0.21,0.0210036449442846,NA,0.3
"0.4",0.01,0.101884452843426,NA,0.4
"0.4",0.035,0.0219523694834987,NA,0.4
"0.4",0.06,0.0217755607952547,NA,0.4
"0.4",0.085,0.0217749666836326,NA,0.4
"0.4",0.11,0.0217748709903768,NA,0.4
"0.4",0.135,0.0217748346264552,NA,0.4
"0.4",0.16,0.0217748257141028,NA,0.4
"0.4",0.185,0.0217748179352186,NA,0.4
"0.4",0.21,0.0217748276760369,NA,0.4
"0.5",0.01,0.102567894595801,NA,0.5
"0.5",0.035,0.0730879630192957,NA,0.5
"0.5",0.06,0.02388103141307,NA,0.5
"0.5",0.085,0.0238778771394808,NA,0.5
"0.5",0.11,0.0238777316704121,NA,0.5
"0.5",0.135,0.0238776958877376,NA,0.5
"0.5",0.16,0.0238776934359556,NA,0.5
"0.5",0.185,0.0238776743753043,NA,0.5
"0.5",0.21,0.0238776847135545,NA,0.5
"0.6",0.01,0.103506286942454,NA,0.6
"0.6",0.035,0.0737380386239433,NA,0.6
"0.6",0.06,0.0374011089102826,NA,0.6
"0.6",0.085,0.0371707222285053,NA,0.6
"0.6",0.11,0.0371573289268738,NA,0.6
"0.6",0.135,0.0371555537544793,NA,0.6
"0.6",0.16,0.0371552613312262,NA,0.6
"0.6",0.185,0.0371550702466234,NA,0.6
"0.6",0.21,0.0371550101945852,NA,0.6
"0.7",0.01,0.732834875152808,NA,0.7
"0.7",0.035,0.16581683676475,NA,0.7
"0.7",0.06,0.261506131941825,NA,0.7
"0.7",0.085,0.239027713354527,NA,0.7
"0.7",0.11,0.23889727547234,NA,0.7
"0.7",0.135,0.238854233488602,NA,0.7
"0.7",0.16,0.238840272068532,NA,0.7
"0.7",0.185,0.238835876107073,NA,0.7
"0.7",0.21,0.238833796480253,NA,0.7
"0.8",0.01,0.74697273143543,NA,0.8
"0.8",0.035,0.679681932025774,NA,0.8
"0.8",0.06,0.502034405320794,NA,0.8
"0.8",0.085,0.50481926987255,NA,0.8
"0.8",0.11,0.504999910317661,NA,0.8
"0.8",0.135,0.505028813740781,NA,0.8
"0.8",0.16,0.505035653352974,NA,0.8
"0.8",0.185,0.505037641086863,NA,0.8
"0.8",0.21,0.505037934635417,NA,0.8
"0.9",0.01,0.746548474694654,NA,0.9
"0.9",0.035,0.719758495669369,NA,0.9
"0.9",0.06,0.649999721046688,NA,0.9
"0.9",0.085,0.646409653481605,NA,0.9
"0.9",0.11,0.646443859878463,NA,0.9
"0.9",0.135,0.646446893370948,NA,0.9
"0.9",0.16,0.646447861678174,NA,0.9
"0.9",0.185,0.646448248623244,NA,0.9
"0.9",0.21,0.646448404220484,NA,0.9
"0.99",0.01,0.754351171340892,NA,0.99
"0.99",0.035,0.759920181383182,NA,0.99
"0.99",0.06,0.703547996439532,NA,0.99
"0.99",0.085,0.700030789412291,NA,0.99
"0.99",0.11,0.700015099185644,NA,0.99
"0.99",0.135,0.700011855717668,NA,0.99
"0.99",0.16,0.700011478637935,NA,0.99
"0.99",0.185,0.70001151623686,NA,0.99
"0.99",0.21,0.700011493000208,NA,0.99
