"Median_Seroprevalence","Extinction_Day","Parameter_Value","Parameter_Tested"
0,91,0,"q"
0,91,0.05,"q"
0,91,0.1,"q"
0,91,0.15,"q"
0,91,0.2,"q"
0,317,0.25,"q"
0,322,0.3,"q"
0,325,0.35,"q"
0,732,0.4,"q"
0,1069,0.45,"q"
0,1419,0.5,"q"
0,2233,0.55,"q"
0.00372144256144472,4354,0.6,"q"
0.0918724005775186,10581,0.65,"q"
0.215198064633301,12531,0.7,"q"
0.39285100986839,12423,0.75,"q"
0.534579110693935,12409,0.8,"q"
0.67348400601948,12398,0.85,"q"
0.759545858114618,12389,0.9,"q"
0.795589250662467,12383,0.95,"q"
0.808400463964149,12380,1,"q"
0.215197914166994,12531,0.7,"q"
